Province,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Amnat Charoen,344876,350530,354298,357334,360340,364321,365943,366895,368230,370360,370630,367546,368792,368934,368915,369476,370804,372137,372241,373494,374698,375380,376382,377120,378107,378621,378438,376195,376350
Ang Thong,283055,284420,286389,288037,289397,290595,289527,289403,289442,290423,290832,283009,283778,283943,284406,284831,284807,284970,284061,283882,283732,283568,283173,282404,281187,280840,279654,276584,274763
Bangkok,5572712,5584226,5570743,5584963,5604772,5647799,5662499,5680380,5726203,5782159,5844618,5631321,5658954,5695958,5716248,5710883,5702595,5701394,5674843,5673560,5686252,5692284,5696409,5686646,5682415,5676648,5666264,5588222,5527994
Buri Ram,1428513,1445053,1458288,1476984,1494836,1513889,1520419,1528207,1533874,1545779,1557974,1524493,1531430,1536722,1536070,1541650,1546784,1553765,1559085,1566740,1573438,1579248,1584661,1587897,1591905,1594850,1595747,1581184,1579805
Chachoengsao,597393,605328,609241,621875,627119,636323,637665,639751,643996,649758,652504,643641,647610,654206,658966,664830,668983,673933,679370,685721,690226,695478,700902,704399,709889,715009,720113,720718,724178
Chai Nat,348333,348311,350318,351590,352534,353749,351618,351043,350932,350547,349217,341617,340129,339006,337147,335952,335420,334934,333256,333172,332769,332283,331655,330431,329722,328263,326611,322477,320432
Chaiyaphum,1086726,1083543,1093063,1103170,1115495,1124447,1127552,1128966,1130913,1136508,1144705,1117155,1116934,1119147,1119597,1122647,1125166,1127423,1127423,1133034,1135723,1137049,1138252,1138199,1139356,1138777,1137357,1124924,1122265
Chanthaburi,459955,464155,471813,479104,484163,481058,490039,493434,499849,506011,511596,494063,498159,502389,504003,508020,511246,514616,516855,521812,524260,527350,531037,532466,534459,536496,537698,535559,536557
Chiang Mai,1534074,1547085,1552766,1564438,1573757,1582222,1587465,1590327,1600850,1595855,1603409,1630218,1650009,1658298,1664399,1670317,1632548,1640479,1646144,1655642,1666888,1678284,1728242,1735762,1746840,1763742,1779254,1784370,1789385
Chiang Rai,1241865,1251581,1249328,1253202,1261138,1268569,1265091,1259988,1263169,1274214,1214981,1214135,1225057,1225713,1225013,1227317,1194933,1198218,1198656,1200423,1204660,1207699,1277950,1282544,1287615,1292130,1298304,1295026,1298425
Chon Buri,948165,962402,982975,1009041,1028625,1053433,1059756,1078518,1104231,1129886,1157113,1143056,1172431,1209290,1233446,1264687,1289590,1316293,1338656,1364002,1390354,1421425,1455039,1483049,1509125,1535445,1558301,1566885,1583672
Chumphon,420644,428329,432867,439996,448087,454170,458297,463394,468746,473818,477128,472239,475763,478964,481298,484722,487744,489964,492182,495310,498294,500575,505830,507604,509650,510963,511304,509208,509479
Kalasin,920410,955125,960357,968715,974460,982951,984046,983952,985454,990212,1000408,971315,973555,975561,977508,978583,980158,982578,981655,985084,984030,984907,985203,985232,986005,985346,983418,977175,975570
Kamphaeng Phet,755809,759453,742383,745751,766048,770667,765876,765756,766248,768130,778330,726561,728266,728320,725994,726213,726846,727093,726009,727555,728631,729522,730158,729542,729133,727807,725867,714118,712143
Kanchanaburi,724675,736996,744933,756528,766352,775198,778456,786001,792294,801836,797372,810339,826169,834447,835282,840905,833423,839776,838914,838269,842882,848198,882146,885112,887979,893151,895525,891976,894054
Khon Kaen,1637029,1678546,1652030,1672399,1726594,1738532,1747730,1748218,1756995,1767643,1785085,1741859,1747541,1750496,1752414,1756101,1762242,1767601,1766066,1774816,1781655,1790049,1798014,1801753,1805910,1805895,1802872,1794531,1790863
Krabi,314627,320941,330094,338845,344610,351548,358383,365504,371814,377954,384422,387818,395665,403363,410634,418705,426556,432704,438039,444967,450890,456811,462101,465931,469769,473738,476739,477770,479351
